begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup,DIFFICULT,SPEAKER,DIFFICULT.1,APPOSITION,NOMINAL,PRONOUN,pbegin,pbegin_ind,pbegin_pos,pend,pend_ind,pend_pos,parsed_mention,mention
56,58,,,-1,-1,"le in, and
          take off.",We,          EXT - LA LOUISIANE (,15,READER,False,False,False,False,False,False,False,35.0,1.0,0.0,36.0,1.0,1.0,We,We
262,270,,,-1,-1,"le in, and
          take off.",LT.HICOX,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,185.0,5.0,9.0,192.0,5.0,16.0,LT.HICOX,LT.HICOX
275,288,,,-1,-1,"le in, and
          take off.",LT.ALDO RAINE,          EXT - LA LOUISIANE (,10,LT. ALDO RAINE,False,False,True,False,False,False,False,198.0,5.0,22.0,210.0,5.0,34.0,LT.ALDO RAINE,LT.ALDO RAINE
299,303,,,-1,-1,"le in, and
          take off.",Aldo,          EXT - LA LOUISIANE (,10,LT. ALDO RAINE,False,False,True,False,False,False,False,212.0,5.0,36.0,215.0,5.0,39.0,Aldo,Aldo
339,344,,,-1,-1,"le in, and
          take off.",Hicox,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,252.0,5.0,76.0,256.0,5.0,80.0,Hicox,Hicox
517,524,,,-1,-1,"le in, and
          take off.",LT.ALDO,          EXT - LA LOUISIANE (,10,LT. ALDO RAINE,False,False,True,False,False,False,False,398.0,6.0,0.0,404.0,6.0,6.0,LT.ALDO,LT.ALDO
535,538,,,-1,-1,"le in, and
          take off.",You,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,405.0,7.0,0.0,407.0,7.0,2.0,You,You
621,629,,,-1,-1,"le in, and
          take off.",LT.HICOX,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,469.0,8.0,0.0,476.0,8.0,7.0,LT.HICOX,LT.HICOX
640,641,,,-1,-1,"le in, and
          take off.",I,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,477.0,9.0,0.0,477.0,9.0,0.0,I,I
666,673,,,-1,-1,"le in, and
          take off.",LT.ALDO,          EXT - LA LOUISIANE (,10,LT. ALDO RAINE,False,False,True,False,False,False,False,491.0,10.0,0.0,497.0,10.0,6.0,LT.ALDO,LT.ALDO
684,687,,,-1,-1,"le in, and
          take off.",You,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,498.0,11.0,0.0,500.0,11.0,2.0,You,You
724,732,,,-1,-1,"le in, and
          take off.",LT.HICOX,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,526.0,12.0,0.0,533.0,12.0,7.0,LT.HICOX,LT.HICOX
818,825,,,-1,-1,"le in, and
          take off.",LT.ALDO,          EXT - LA LOUISIANE (,10,LT. ALDO RAINE,False,False,True,False,False,False,False,549.0,14.0,0.0,555.0,14.0,6.0,LT.ALDO,LT.ALDO
857,860,,,-1,-1,"le in, and
          take off.",You,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,True,False,False,False,577.0,15.0,21.0,579.0,15.0,23.0,You,You
1006,1019,,,-1,-1,"le in, and
          take off.",Wilhelm Wicki,          EXT - LA LOUISIANE (,13,WILHELM WICKI,False,False,True,False,False,False,False,686.0,15.0,130.0,698.0,15.0,142.0,Wilhelm Wicki,Wilhelm Wicki
1103,1108,,,-1,-1,"le in, and
          take off.",WICKI,          EXT - LA LOUISIANE (,13,WILHELM WICKI,False,False,True,False,False,False,False,761.0,16.0,0.0,765.0,16.0,4.0,WICKI,WICKI
1147,1150,,,-1,-1,"le in, and
          take off.",she,          EXT - LA LOUISIANE (,19,BRIDGET VON HAMMERSMARK,False,False,True,False,False,False,False,794.0,17.0,28.0,796.0,17.0,30.0,she,she
1190,1198,,,-1,-1,"le in, and
          take off.",LT.HICOX,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,815.0,18.0,0.0,822.0,18.0,7.0,LT.HICOX,LT.HICOX
1231,1234,,,-1,-1,"le in, and
          take off.",she,          EXT - LA LOUISIANE (,19,BRIDGET VON HAMMERSMARK,False,False,True,False,False,False,False,845.0,19.0,22.0,847.0,19.0,24.0,she,she
1262,1265,,,-1,-1,"le in, and
          take off.",she,          EXT - LA LOUISIANE (,19,BRIDGET VON HAMMERSMARK,False,False,True,False,False,False,False,866.0,19.0,43.0,868.0,19.0,45.0,she,she
1301,1303,,,-1,-1,"le in, and
          take off.",WE,          EXT - LA LOUISIANE (,15,READER,False,False,False,False,False,False,False,895.0,19.0,72.0,896.0,19.0,73.0,WE,WE
1409,1417,,,-1,-1,"le in, and
          take off.",Donowitz,          EXT - LA LOUISIANE (,20,Donowitz,False,False,True,False,False,False,False,993.0,19.0,170.0,1000.0,19.0,177.0,Donowitz,Donowitz
1419,1429,,,-1,-1,"le in, and
          take off.",Hirschberg,          EXT - LA LOUISIANE (,11,Hirschberg,False,False,True,False,False,False,False,1003.0,19.0,180.0,1012.0,19.0,189.0,Hirschberg,Hirschberg
1445,1452,,,-1,-1,"le in, and
          take off.",Utivich,          EXT - LA LOUISIANE (,14,Utivich,False,False,False,False,False,False,False,1019.0,19.0,196.0,1025.0,19.0,202.0,Utivich,Utivich
1543,1556,,,-1,-1,"le in, and
          take off.",Hugo Stiglitz,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,1107.0,19.0,284.0,1119.0,19.0,296.0,Hugo Stiglitz,Hugo Stiglitz
1569,1576,,,-1,-1,"le in, and
          take off.",himself,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,1133.0,19.0,310.0,1139.0,19.0,316.0,himself,himself
1599,1602,,,-1,-1,"le in, and
          take off.",his,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,1153.0,19.0,330.0,1155.0,19.0,332.0,his,his
1618,1621,,,-1,-1,"le in, and
          take off.",his,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,1172.0,19.0,349.0,1174.0,19.0,351.0,his,his
1649,1652,,,-1,-1,"le in, and
          take off.",his,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,1203.0,19.0,380.0,1205.0,19.0,382.0,his,his
1758,1766,,,-1,-1,"le in, and
          take off.",Lt.Hicox,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,1282.0,19.0,459.0,1289.0,19.0,466.0,Lt.Hicox,Lt.Hicox
1775,1783,,,-1,-1,"le in, and
          take off.",Stiglitz,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,1299.0,19.0,476.0,1306.0,19.0,483.0,Stiglitz,Stiglitz
1791,1798,,,-1,-1,"le in, and
          take off.",himself,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,1315.0,19.0,492.0,1321.0,19.0,498.0,himself,himself
1849,1852,,,-1,-1,"le in, and
          take off.",his,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,1363.0,19.0,540.0,1365.0,19.0,542.0,his,his
1883,1891,,,-1,-1,"le in, and
          take off.",Stiglitz,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,1387.0,19.0,564.0,1394.0,19.0,571.0,Stiglitz,Stiglitz
1922,1930,,,-1,-1,"le in, and
          take off.",Lt.Hicox,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,1416.0,19.0,593.0,1423.0,19.0,600.0,Lt.Hicox,Lt.Hicox
1942,1950,,,-1,-1,"le in, and
          take off.",Stiglitz,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,1436.0,19.0,613.0,1443.0,19.0,620.0,Stiglitz,Stiglitz
1965,1973,,,-1,-1,"le in, and
          take off.",LT.NICOX,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,1447.0,20.0,0.0,1454.0,20.0,7.0,LT.NICOX,LT.NICOX
1984,1992,,,-1,-1,"le in, and
          take off.",Stiglitz,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,1455.0,21.0,0.0,1462.0,21.0,7.0,Stiglitz,Stiglitz
2012,2020,,,-1,-1,"le in, and
          take off.",STIGLITZ,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,1471.0,22.0,0.0,1478.0,22.0,7.0,STIGLITZ,STIGLITZ
