movie,text,robust,rule,correct,robust == correct,rule == correct,0.9927538981,0.9393376076
quiet_place,,O,O,O,FALSE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,A QUIET PLACE,S,M,M,TRUE,TRUE,,
quiet_place,,O,O,O,FALSE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,Screenplay by,S,M,M,TRUE,TRUE,,
quiet_place,,O,O,O,FALSE,TRUE,,
quiet_place,"              Bryan Woods, Scott Beck & John Krasinski",N,M,M,TRUE,TRUE,,
quiet_place,,O,O,O,FALSE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,Story by,S,M,M,TRUE,TRUE,,
quiet_place,,O,O,O,FALSE,TRUE,,
quiet_place,Bryan Woods & Scott Beck,N,M,M,TRUE,TRUE,,
quiet_place,,O,O,O,FALSE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,BLACK,N,N,M,TRUE,FALSE,,
quiet_place,,O,O,O,FALSE,TRUE,,
quiet_place,"    We hear, very clearly, the sound of light wind.",N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,1   EXT. TOWN - MAIN ST. - LATE AFTERNOON                        1,S,S,S,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,We come up on... a streetlight. There is no illumination...,N,N,N,TRUE,TRUE,,
quiet_place,and no movement. We hold on it for a long moment when,N,N,N,TRUE,TRUE,,
quiet_place,suddenly... The streetlight bobs... and then begins to sway.,N,N,N,TRUE,TRUE,,
quiet_place,We slowly begin to rise up on the streetlight to reveal... a,N,N,N,TRUE,TRUE,,
quiet_place,"    small bird has landed on it. We continue to rise to reveal,",N,N,N,TRUE,TRUE,,
quiet_place,behind the bird...,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,Wind blows through the   gargantuan evergreens that seem to,N,N,N,TRUE,TRUE,,
quiet_place,engulf the narrow main   street of a small town in upstate New,N,N,N,TRUE,TRUE,,
quiet_place,"    York. Shop windows and   cars on either side covered in dust,",N,N,N,TRUE,TRUE,,
quiet_place,the place seems frozen   in time. There is no movement.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,In the very middle of the road one can see... sand. A bizarre,N,N,N,TRUE,TRUE,,
quiet_place,"    incongruity, a long pathway about a shovels width runs the",N,N,N,TRUE,TRUE,,
quiet_place,full length of the street with offshoots into open doorways,N,N,N,TRUE,TRUE,,
quiet_place,of some of the shops.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,We hold for a long moment:,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,2   INT. GENERAL STORE - FRONT - LATE AFTERNOON                  2,S,S,S,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,"    Slowly pushing through the doorway of a large general store,",N,N,N,TRUE,TRUE,,
quiet_place,"    also covered in dust. To the left, a cash register with small",N,N,N,TRUE,TRUE,,
quiet_place,"    shelves of nearly empty candy boxes below. To the right, a",N,N,N,TRUE,TRUE,,
quiet_place,"    towering shelf full of bags of potato chips, nacho chips and",N,N,N,TRUE,TRUE,,
quiet_place,pretzels... None are missing.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,3   INT. GENERAL STORE AISLES - LATE AFTERNOON                   3,S,S,S,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,"    WE MOVE SLOWLY across the floor, down the middle of a general",N,N,N,TRUE,TRUE,,
quiet_place,"    store. Amid the towering shelves of goods on either side, one",N,N,N,TRUE,TRUE,,
quiet_place,may recognize a barely perceptible pattern of which shelves,N,N,N,TRUE,TRUE,,
quiet_place,are bare and which are not. There is no movement. No sound.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,"    Suddenly... TINY FEET JUMP INTO OUR MOVING FRAME! Then, as",N,N,N,TRUE,TRUE,,
quiet_place,fast as they appeared... They're gone.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,"    WE NOW MOVE UP the side of the store, looking down one",N,N,N,TRUE,TRUE,,
quiet_place,aisle... and the next. As we arrive at the next aisle we,N,N,N,TRUE,TRUE,,
quiet_place,catch a glimpse of... A SMALL DARK FIGURE!!! And then its,N,N,N,TRUE,TRUE,,
quiet_place,gone.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,WE CONTINUE along the side of the store until we arrive at,N,N,N,TRUE,TRUE,,
quiet_place,the last aisle. At the far end of the store we see...,N,N,N,TRUE,TRUE,,
quiet_place,2.,N,O,N,TRUE,FALSE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,a counter. With a window.     And shelves.   Suddenly... A WOMAN,N,N,N,TRUE,TRUE,,
quiet_place,APPEARS IN THE WINDOW!,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,"    WE GO CLOSE ON THE WOMAN as she scans the shelves, slowly",N,N,N,TRUE,TRUE,,
quiet_place,lowering herself to the ground until behind her we see... an,N,N,N,TRUE,TRUE,,
quiet_place,8 year old boy sitting slumped against the wall... HE IS,N,N,N,TRUE,TRUE,,
quiet_place,BAREFOOT. On closer inspection we see sweat on the boy's,N,N,N,TRUE,TRUE,,
quiet_place,"    brow, his skin pale from fever. The woman's knee touches down",N,N,N,TRUE,TRUE,,
quiet_place,on the ground next to the boy as... she sees what she's been,N,N,N,TRUE,TRUE,,
quiet_place,looking for. She reaches out her hand.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,WE GO CLOSE ON HER HAND as it reaches toward a shelf... of,N,N,N,TRUE,TRUE,,
quiet_place,orange prescription drug bottles. Her hand suddenly begins to,N,N,N,TRUE,TRUE,,
quiet_place,shift certain bottles ever so slightly... AT A BIZARRELY SLOW,N,N,N,TRUE,TRUE,,
quiet_place,"    PACE... she does not make a sound. As she does this, we get",N,N,N,TRUE,TRUE,,
quiet_place,our first glimpse... of names. Names of drugs. Names... of,N,N,N,TRUE,TRUE,,
quiet_place,people.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,HER HAND finally arrives at the very back of the shelf as she,N,N,N,TRUE,TRUE,,
