begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup,DIFFICULT,SPEAKER,DIFFICULT,APPOSITION,NOMINAL,PRONOUN
529,541,,,-1,-1,"                      THE END
","A
   timpani","



                          ",1,Timpani,false,false,false,false,false,false,false
1045,1056,,,-1,-1,"                      THE END
",The timpani,"



                          ",1,Timpani,false,false,false,false,false,false,false
46692,46709,,,-1,-1,"                      THE END
",ANGRY GERBIL LADY,"



                          ",2,ANGRY GERBIL LADY,false,false,true,false,false,false,false
21622,21649,,,-1,-1,"                      THE END
","a gazelle pop star, GAZELLE","



                          ",3,POP STAR GAZELLE,false,false,true,false,true,false,false
21702,21709,,,-1,-1,"                      THE END
",GAZELLE,"



                          ",3,POP STAR GAZELLE,false,false,true,false,false,false,false
21720,21721,,,-1,-1,"                      THE END
",I,"



                          ",3,POP STAR GAZELLE,false,false,true,false,false,false,true
21725,21732,,,-1,-1,"                      THE END
",Gazelle,"



                          ",3,POP STAR GAZELLE,false,false,true,false,false,false,false
91027,91043,,,-1,-1,"                      THE END
",pop star Gazelle,"



                          ",3,POP STAR GAZELLE,false,false,true,false,false,false,false
91194,91201,,,-1,-1,"                      THE END
",Gazelle,"



                          ",3,POP STAR GAZELLE,false,false,true,false,false,false,false
91257,91273,,,-1,-1,"                      THE END
",angel with horns,"



                          ",3,POP STAR GAZELLE,false,false,true,false,false,true,false
91344,91347,,,-1,-1,"                      THE END
",her,"



                          ",3,POP STAR GAZELLE,false,false,true,false,false,false,true
91405,91412,,,-1,-1,"                      THE END
",Gazelle,"



                          ",3,POP STAR GAZELLE,false,false,true,false,false,false,false
91435,91442,,,-1,-1,"                      THE END
",GAZELLE,"



                          ",3,POP STAR GAZELLE,false,false,true,false,false,false,false
116747,116754,,,-1,-1,"                      THE END
",Gazelle,"



                          ",3,POP STAR GAZELLE,false,false,true,false,false,false,false
116844,116851,,,-1,-1,"                      THE END
",GAZELLE,"



                          ",3,POP STAR GAZELLE,false,false,true,false,false,false,false
117195,117202,,,-1,-1,"                      THE END
",Gazelle,"



                          ",3,POP STAR GAZELLE,false,false,true,false,false,false,false
