begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup,DIFFICULT,SPEAKER,DIFFICULT,APPOSITION,NOMINAL,PRONOUN
7830,7836,,,-1,-1,"restrictions set forth above.
",ROCKET,"     F O R Y O U R C O N S I D",0,ROCKET,false,false,true,false,false,false,false
7884,7887,,,-1,-1,"restrictions set forth above.
",his,"     F O R Y O U R C O N S I D",0,ROCKET,false,false,true,false,false,false,true
9487,9493,,,-1,-1,"restrictions set forth above.
",ROCKET,"     F O R Y O U R C O N S I D",0,ROCKET,false,false,true,false,false,false,false
9543,9549,,,-1,-1,"restrictions set forth above.
",Rocket,"     F O R Y O U R C O N S I D",0,ROCKET,false,false,true,false,false,false,false
9591,9597,,,-1,-1,"restrictions set forth above.
",ROCKET,"     F O R Y O U R C O N S I D",0,ROCKET,false,false,true,false,false,false,false
9822,9825,,,-1,-1,"restrictions set forth above.
",you,"     F O R Y O U R C O N S I D",0,ROCKET,false,false,true,false,false,false,true
13962,13968,,,-1,-1,"restrictions set forth above.
",ROCKET,"     F O R Y O U R C O N S I D",0,ROCKET,false,false,true,false,false,false,false
14531,14537,,,-1,-1,"restrictions set forth above.
",ROCKET,"     F O R Y O U R C O N S I D",0,ROCKET,false,false,true,false,false,false,false
14661,14667,,,-1,-1,"restrictions set forth above.
",ROCKET,"     F O R Y O U R C O N S I D",0,ROCKET,false,false,true,false,false,false,false
14863,14865,,,-1,-1,"restrictions set forth above.
",He,"     F O R Y O U R C O N S I D",0,ROCKET,false,false,true,false,false,false,true
15001,15007,,,-1,-1,"restrictions set forth above.
",ROCKET,"     F O R Y O U R C O N S I D",0,ROCKET,false,false,true,false,false,false,false
15086,15089,,,-1,-1,"restrictions set forth above.
",You,"     F O R Y O U R C O N S I D",0,ROCKET,false,false,true,false,false,false,true
15211,15217,,,-1,-1,"restrictions set forth above.
",Rocket,"     F O R Y O U R C O N S I D",0,ROCKET,false,false,true,false,false,false,false
15811,15817,,,-1,-1,"restrictions set forth above.
",ROCKET,"     F O R Y O U R C O N S I D",0,ROCKET,false,false,true,false,false,false,false
17675,17681,,,-1,-1,"restrictions set forth above.
",ROCKET,"     F O R Y O U R C O N S I D",0,ROCKET,false,false,true,false,false,false,false
17740,17746,,,-1,-1,"restrictions set forth above.
",ROCKET,"     F O R Y O U R C O N S I D",0,ROCKET,false,false,true,false,false,false,false
17877,17883,,,-1,-1,"restrictions set forth above.
",ROCKET,"     F O R Y O U R C O N S I D",0,ROCKET,false,false,true,false,false,false,false
