begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup,Difficult,Speaker,Nominal,Apposition,Pronoun,Difficult
2819,2837,,,-1,-1,"hank you, boys. Thank you.
   ","Mr. John
		Keating","
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
2878,2881,,,-1,-1,"hank you, boys. Thank you.
   ",who,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,true,true
12059,12066,,,-1,-1,"hank you, boys. Thank you.
   ",KEATING,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
12101,12108,,,-1,-1,"hank you, boys. Thank you.
   ",Keating,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
12145,12152,,,-1,-1,"hank you, boys. Thank you.
   ",Keating,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
12170,12173,,,-1,-1,"hank you, boys. Thank you.
   ",his,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,true,false
12399,12406,,,-1,-1,"hank you, boys. Thank you.
   ",Keating,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
12465,12467,,,-1,-1,"hank you, boys. Thank you.
   ",He,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,true,false
12604,12611,,,-1,-1,"hank you, boys. Thank you.
   ",Keating,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
12618,12621,,,-1,-1,"hank you, boys. Thank you.
   ",his,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,true,false
12653,12660,,,-1,-1,"hank you, boys. Thank you.
   ",KEATING,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
12678,12680,,,-1,-1,"hank you, boys. Thank you.
   ",He,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,true,false
12774,12781,,,-1,-1,"hank you, boys. Thank you.
   ",Keating,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
12839,12846,,,-1,-1,"hank you, boys. Thank you.
   ",Keating,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
12932,12939,,,-1,-1,"hank you, boys. Thank you.
   ",KEATING,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
13131,13138,,,-1,-1,"hank you, boys. Thank you.
   ",KEATING,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
13248,13250,,,-1,-1,"hank you, boys. Thank you.
   ",me,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,true,false
13251,13262,,,-1,-1,"hank you, boys. Thank you.
   ",Mr. Keating,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
13363,13370,,,-1,-1,"hank you, boys. Thank you.
   ",KEATING,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
13381,13383,,,-1,-1,"hank you, boys. Thank you.
   ",me,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,true,false
13444,13445,,,-1,-1,"hank you, boys. Thank you.
   ",I,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,true,false
13507,13508,,,-1,-1,"hank you, boys. Thank you.
   ",I,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,true,false
13556,13557,,,-1,-1,"hank you, boys. Thank you.
   ",I,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,true,false
13628,13629,,,-1,-1,"hank you, boys. Thank you.
   ",I,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,true,false
13695,13697,,,-1,-1,"hank you, boys. Thank you.
   ",my,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,true,false
13815,13822,,,-1,-1,"hank you, boys. Thank you.
   ",Keating,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
13847,13850,,,-1,-1,"hank you, boys. Thank you.
   ",his,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,true,false
13862,13869,,,-1,-1,"hank you, boys. Thank you.
   ",KEATING,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
14015,14022,,,-1,-1,"hank you, boys. Thank you.
   ",KEATING,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
14185,14192,,,-1,-1,"hank you, boys. Thank you.
   ",KEATING,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
14401,14408,,,-1,-1,"hank you, boys. Thank you.
   ",KEATING,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
14644,14651,,,-1,-1,"hank you, boys. Thank you.
   ",KEATING,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
14695,14702,,,-1,-1,"hank you, boys. Thank you.
   ",KEATING,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
14868,14875,,,-1,-1,"hank you, boys. Thank you.
   ",KEATING,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
14889,14896,,,-1,-1,"hank you, boys. Thank you.
   ",Keating,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
14903,14906,,,-1,-1,"hank you, boys. Thank you.
   ",his,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,true,false
14946,14953,,,-1,-1,"hank you, boys. Thank you.
   ",KEATING,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
15154,15161,,,-1,-1,"hank you, boys. Thank you.
   ",Keating,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
15251,15258,,,-1,-1,"hank you, boys. Thank you.
   ",KEATING,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,false,false
15265,15266,,,-1,-1,"hank you, boys. Thank you.
   ",I,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,true,false
15394,15395,,,-1,-1,"hank you, boys. Thank you.
   ",I,"
INT. WELTON ACADEMY HALLWAY -",0,"Mr. John
		Keating",false,false,false,false,false,true,false
