begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup,Difficult,Speaker,Pronoun,Difficult,Nominal,Apposition
2003,2006,,,-1,-1,"             

          END. ",his,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
2040,2053,,,-1,-1,"             

          END. ",ROBERT ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,true
2085,2088,,,-1,-1,"             

          END. ",him,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
2375,2381,,,-1,-1,"             

          END. ",angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
3993,3999,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
4033,4036,,,-1,-1,"             

          END. ",his,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
4824,4830,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
5850,5856,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
6157,6174,,,-1,-1,"             

          END. ","a

          BODY","


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,true,false
7289,7295,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
8099,8105,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
8119,8122,,,-1,-1,"             

          END. ",His,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
8163,8165,,,-1,-1,"             

          END. ",he,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
8591,8648,,,-1,-1,"             

          END. ","Robert Angier, the Great
           Danton, your employer","


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,true
8687,8690,,,-1,-1,"             

          END. ",his,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
9342,9352,,,-1,-1,"             

          END. ",Mr. Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
9801,9812,,,-1,-1,"             

          END. ",Mr.Angier's,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
9952,9955,,,-1,-1,"             

          END. ",his,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
10134,10145,,,-1,-1,"             

          END. ",Mr.Angier's,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
11553,11564,,,-1,-1,"             

          END. ",Mr.Angier's,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
11694,11705,,,-1,-1,"             

          END. ",my magician,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,true,false
15273,15285,,,-1,-1,"             

          END. ",Lord Caldlow,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
15520,15532,,,-1,-1,"             

          END. ",Lord Caldlow,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
17275,17289,,,-1,-1,"             

          END. ",Lord Caldlow's,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
17574,17586,,,-1,-1,"             

          END. ",Lord Caldlow,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
17721,17723,,,-1,-1,"             

          END. ",He,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
17939,17952,,,-1,-1,"             

          END. ",Robert Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
17996,17998,,,-1,-1,"             

          END. ",he,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
18213,18219,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
18301,18303,,,-1,-1,"             

          END. ",he,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
18338,18340,,,-1,-1,"             

          END. ",he,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
18635,18641,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
18674,18677,,,-1,-1,"             

          END. ",him,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
18689,18692,,,-1,-1,"             

          END. ",him,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
19099,19105,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
19174,19180,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
19487,19493,,,-1,-1,"             

          END. ",Aniger,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
19561,19564,,,-1,-1,"             

          END. ",his,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
19660,19666,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
19873,19879,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
19892,19895,,,-1,-1,"             

          END. ",his,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
20117,20123,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
20146,20152,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
20183,20186,,,-1,-1,"             

          END. ",his,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
20249,20251,,,-1,-1,"             

          END. ",he,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
20340,20349,,,-1,-1,"             

          END. ",Mr.Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
20428,20434,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
20529,20535,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
20542,20545,,,-1,-1,"             

          END. ",his,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
20613,20616,,,-1,-1,"             

          END. ",his,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
20661,20663,,,-1,-1,"             

          END. ",he,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
20866,20872,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
21711,21717,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
21824,21830,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
21933,21936,,,-1,-1,"             

          END. ",You,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
21982,21992,,,-1,-1,"             

          END. ",Mr.Angier.,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
