begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup,DIFFICULT,SPEAKER,DIFFICULT,APPOSITION,NOMINAL,PRONOUN
38963,38970,,,-1,-1,"he door.    It's
      locked.",TECH #3,"198DB   INT. AIRPLANE -- DAY  ",0,TECH #3,false,false,true,false,false,true,false
358,365,,,-1,-1,"he door.    It's
      locked.",LANDY'S,"198DB   INT. AIRPLANE -- DAY  ",1,Pamela Landy,false,false,true,false,false,false,false
470,473,,,-1,-1,"he door.    It's
      locked.",Pam,"198DB   INT. AIRPLANE -- DAY  ",1,Pamela Landy,false,false,true,false,false,false,false
475,478,,,-1,-1,"he door.    It's
      locked.",You,"198DB   INT. AIRPLANE -- DAY  ",1,Pamela Landy,false,false,true,false,false,false,false
506,511,,,-1,-1,"he door.    It's
      locked.",Landy,"198DB   INT. AIRPLANE -- DAY  ",1,Pamela Landy,false,false,true,false,false,false,false
1064,1069,,,-1,-1,"he door.    It's
      locked.",LANDY,"198DB   INT. AIRPLANE -- DAY  ",1,Pamela Landy,false,false,true,false,false,false,false
1444,1449,,,-1,-1,"he door.    It's
      locked.",LANDY,"198DB   INT. AIRPLANE -- DAY  ",1,Pamela Landy,false,false,true,false,false,false,false
1850,1853,,,-1,-1,"he door.    It's
      locked.",you,"198DB   INT. AIRPLANE -- DAY  ",1,Pamela Landy,false,false,true,false,false,false,false
1883,1888,,,-1,-1,"he door.    It's
      locked.",LANDY,"198DB   INT. AIRPLANE -- DAY  ",1,Pamela Landy,false,false,true,false,false,false,false
1965,1966,,,-1,-1,"he door.    It's
      locked.",I,"198DB   INT. AIRPLANE -- DAY  ",1,Pamela Landy,false,false,true,false,false,false,false
1973,1974,,,-1,-1,"he door.    It's
      locked.",I,"198DB   INT. AIRPLANE -- DAY  ",1,Pamela Landy,false,false,true,false,false,false,false
2454,2461,,,-1,-1,"he door.    It's
      locked.",LANDY'S,"198DB   INT. AIRPLANE -- DAY  ",1,Pamela Landy,false,false,true,false,false,false,false
2515,2522,,,-1,-1,"he door.    It's
      locked.",LANDY'S,"198DB   INT. AIRPLANE -- DAY  ",1,Pamela Landy,false,false,true,false,false,false,false
2543,2546,,,-1,-1,"he door.    It's
      locked.",She,"198DB   INT. AIRPLANE -- DAY  ",1,Pamela Landy,false,false,true,false,false,false,false
2587,2592,,,-1,-1,"he door.    It's
      locked.",LANDY,"198DB   INT. AIRPLANE -- DAY  ",1,Pamela Landy,false,false,true,false,false,false,false
2610,2622,,,-1,-1,"he door.    It's
      locked.",Pamela Landy,"198DB   INT. AIRPLANE -- DAY  ",1,Pamela Landy,false,false,true,false,false,false,false
2755,2758,,,-1,-1,"he door.    It's
      locked.",you,"198DB   INT. AIRPLANE -- DAY  ",1,Pamela Landy,false,false,true,false,false,false,false
2815,2822,,,-1,-1,"he door.    It's
      locked.",LANDY'S,"198DB   INT. AIRPLANE -- DAY  ",1,Pamela Landy,false,false,true,false,false,false,false
2881,2886,,,-1,-1,"he door.    It's
      locked.",LANDY,"198DB   INT. AIRPLANE -- DAY  ",1,Pamela Landy,false,false,true,false,false,false,false
